STACJA,DATA,POMIAR,WARTOSC
11477,2019-05-14 19:00:00,PM2.5,4.38841
952,2019-05-14 19:00:00,PM2.5,5.78711
952,2019-05-14 19:00:00,PM10,18.9989
902,2019-05-14 19:00:00,PM10,15.01
950,2019-05-14 19:00:00,PM10,12.2973
10834,2019-05-14 19:00:00,PM10,28.1548
11654,2019-05-14 19:00:00,PM10,8.29176
11654,2019-05-14 19:00:00,PM2.5,4.64043
805,2019-05-14 19:00:00,PM10,16.8755
809,2019-05-14 19:00:00,PM10,11.0449
814,2019-05-14 20:00:00,PM10,15.0263
814,2019-05-14 20:00:00,PM2.5,13.0116
837,2019-05-14 20:00:00,PM10,11.0779
841,2019-05-14 20:00:00,PM10,15.3196
848,2019-05-14 19:00:00,PM10,9.21519
834,2019-05-14 20:00:00,PM10,27.5564
789,2019-05-14 19:00:00,PM10,20.8655
10158,2019-05-14 19:00:00,PM2.5,21.8011
798,2019-05-14 19:00:00,PM10,16.7444
800,2019-05-14 19:00:00,PM10,11.6302
795,2019-05-14 19:00:00,PM10,15.0166
842,2019-05-14 19:00:00,PM10,6.97375
845,2019-05-14 19:00:00,PM10,26.9708
853,2019-05-14 19:00:00,PM10,7.01316
853,2019-05-14 19:00:00,PM2.5,3.13297
856,2019-05-14 20:00:00,PM10,32.6873
11278,2019-05-14 19:00:00,PM10,11.3263
785,2019-05-14 20:00:00,PM10,8.61
785,2019-05-14 20:00:00,PM2.5,6.91
10443,2019-05-14 20:00:00,PM10,10.0
10443,2019-05-14 20:00:00,PM2.5,8.6
10794,2019-05-14 19:00:00,PM10,29.36
10121,2019-05-14 19:00:00,PM10,5.62733
10123,2019-05-14 19:00:00,PM10,3.17514
10139,2019-05-14 19:00:00,PM10,7.19417
10447,2019-05-14 19:00:00,PM10,11.4925
11303,2019-05-14 19:00:00,PM10,15.4398
10120,2019-05-14 20:00:00,PM2.5,17.5897
10120,2019-05-14 20:00:00,PM10,21.804
10414,2019-05-14 20:00:00,PM10,26.5505
10414,2019-05-14 20:00:00,PM2.5,24.8906
10438,2019-05-14 19:00:00,PM10,12.5072
10438,2019-05-14 19:00:00,PM2.5,11.9572
11279,2019-05-14 20:00:00,PM2.5,17.4392
11279,2019-05-14 20:00:00,PM10,21.9466
10054,2019-05-14 20:00:00,PM10,12.69
11154,2019-05-14 20:00:00,PM2.5,6.5
10124,2019-05-14 20:00:00,PM10,25.0092
10254,2019-05-14 19:00:00,PM10,16.4739
10955,2019-05-14 19:00:00,PM10,7.27
10955,2019-05-14 19:00:00,PM2.5,7.48
10956,2019-05-14 19:00:00,PM2.5,7.37
10956,2019-05-14 19:00:00,PM10,8.07
236,2019-05-14 20:00:00,PM10,10.79
11360,2019-05-14 20:00:00,PM10,19.1
11362,2019-05-14 18:00:00,PM10,15.7
11362,2019-05-14 18:00:00,PM2.5,12.5
9791,2019-05-14 19:00:00,PM10,11.7
