WOJEWÓDZTWO,KOD STARY,KOD NOWY,NAZWA STACJI,MIEJSCOWOSC,ID,DOSTEPNOSC
,,,Mielec-Biernackiego-WIOS,Mielec,10438,True
,,,Horyniec-Zdrój-Park,Horyniec-Zdrój,11279,True
,,,Augustów - mobilne ,Augustów,10054,True
,,,"Suwałki, ul. Pułaskiego 26",Suwałki,11154,True
,,,Kaszów,Kaszów,10119,True
,,,"Sucha Beskidzka, ul. Nieszczyńskiej",Sucha Beskidzka,10124,True
,,,"Nowy Targ, Plac Słowackiego",Nowy Targ,10254,True
,,,Warszawa-Chrościckiego,Warszawa,10955,True
,,,Warszawa-Bajkowa,Warszawa,10956,True
,,,Airponter Wieniec Zdrój,Wieniec-Zdrój,9776,True
,,,BiałaP-Orzechowa,Biała Podlaska,236,True
,,,Puławy ul. Karpińskiego,Puławy,9593,True
,,,Florianka RPN,Florianka,10874,True
,,,Chełm ul.Połaniecka,Chełm,11360,True
,,,NałęczówMOB,Nałęczów,11362,True
,,,"Włocławek, ul. Kaliska",Włocławek,9791,True
